id,nombre,latitud,longitud,direccion,fecha_inicio,hora_inicio,fecha_fin,hora_fin,trafico_flujo,trafico_vehiculo
TRAF-PM-01,PM-01 Avenida Juan Sebastián Elcano,36.72231037324942,-4.366237997769633,Avenida Juan Sebastián Elcano,2026-02-04,00:00,2026-02-04,01:00,45,general
TRAF-PM-01,PM-01 Avenida Juan Sebastián Elcano,36.72231037324942,-4.366237997769633,Avenida Juan Sebastián Elcano,2026-02-04,01:00,2026-02-04,02:00,27,general
TRAF-PM-01,PM-01 Avenida Juan Sebastián Elcano,36.72231037324942,-4.366237997769633,Avenida Juan Sebastián Elcano,2026-02-04,02:00,2026-02-04,03:00,18,general
TRAF-PM-01,PM-01 Avenida Juan Sebastián Elcano,36.72231037324942,-4.366237997769633,Avenida Juan Sebastián Elcano,2026-02-04,03:00,2026-02-04,04:00,18,general
TRAF-PM-01,PM-01 Avenida Juan Sebastián Elcano,36.72231037324942,-4.366237997769633,Avenida Juan Sebastián Elcano,2026-02-04,04:00,2026-02-04,05:00,27,general
TRAF-PM-01,PM-01 Avenida Juan Sebastián Elcano,36.72231037324942,-4.366237997769633,Avenida Juan Sebastián Elcano,2026-02-04,05:00,2026-02-04,06:00,63,general
TRAF-PM-01,PM-01 Avenida Juan Sebastián Elcano,36.72231037324942,-4.366237997769633,Avenida Juan Sebastián Elcano,2026-02-04,06:00,2026-02-04,07:00,143,general
TRAF-PM-01,PM-01 Avenida Juan Sebastián Elcano,36.72231037324942,-4.366237997769633,Avenida Juan Sebastián Elcano,2026-02-04,07:00,2026-02-04,08:00,260,general
TRAF-PM-01,PM-01 Avenida Juan Sebastián Elcano,36.72231037324942,-4.366237997769633,Avenida Juan Sebastián Elcano,2026-02-04,08:00,2026-02-04,09:00,322,general
TRAF-PM-01,PM-01 Avenida Juan Sebastián Elcano,36.72231037324942,-4.366237997769633,Avenida Juan Sebastián Elcano,2026-02-04,09:00,2026-02-04,10:00,269,general
TRAF-PM-01,PM-01 Avenida Juan Sebastián Elcano,36.72231037324942,-4.366237997769633,Avenida Juan Sebastián Elcano,2026-02-04,10:00,2026-02-04,11:00,233,general
TRAF-PM-01,PM-01 Avenida Juan Sebastián Elcano,36.72231037324942,-4.366237997769633,Avenida Juan Sebastián Elcano,2026-02-04,11:00,2026-02-04,12:00,224,general
TRAF-PM-01,PM-01 Avenida Juan Sebastián Elcano,36.72231037324942,-4.366237997769633,Avenida Juan Sebastián Elcano,2026-02-04,12:00,2026-02-04,13:00,246,general
TRAF-PM-01,PM-01 Avenida Juan Sebastián Elcano,36.72231037324942,-4.366237997769633,Avenida Juan Sebastián Elcano,2026-02-04,13:00,2026-02-04,14:00,278,general
TRAF-PM-01,PM-01 Avenida Juan Sebastián Elcano,36.72231037324942,-4.366237997769633,Avenida Juan Sebastián Elcano,2026-02-04,14:00,2026-02-04,15:00,260,general
TRAF-PM-01,PM-01 Avenida Juan Sebastián Elcano,36.72231037324942,-4.366237997769633,Avenida Juan Sebastián Elcano,2026-02-04,15:00,2026-02-04,16:00,233,general
TRAF-PM-01,PM-01 Avenida Juan Sebastián Elcano,36.72231037324942,-4.366237997769633,Avenida Juan Sebastián Elcano,2026-02-04,16:00,2026-02-04,17:00,224,general
TRAF-PM-01,PM-01 Avenida Juan Sebastián Elcano,36.72231037324942,-4.366237997769633,Avenida Juan Sebastián Elcano,2026-02-04,17:00,2026-02-04,18:00,246,general
TRAF-PM-01,PM-01 Avenida Juan Sebastián Elcano,36.72231037324942,-4.366237997769633,Avenida Juan Sebastián Elcano,2026-02-04,18:00,2026-02-04,19:00,291,general
TRAF-PM-01,PM-01 Avenida Juan Sebastián Elcano,36.72231037324942,-4.366237997769633,Avenida Juan Sebastián Elcano,2026-02-04,19:00,2026-02-04,20:00,313,general
TRAF-PM-01,PM-01 Avenida Juan Sebastián Elcano,36.72231037324942,-4.366237997769633,Avenida Juan Sebastián Elcano,2026-02-04,20:00,2026-02-04,21:00,260,general
TRAF-PM-01,PM-01 Avenida Juan Sebastián Elcano,36.72231037324942,-4.366237997769633,Avenida Juan Sebastián Elcano,2026-02-04,21:00,2026-02-04,22:00,179,general
TRAF-PM-01,PM-01 Avenida Juan Sebastián Elcano,36.72231037324942,-4.366237997769633,Avenida Juan Sebastián Elcano,2026-02-04,22:00,2026-02-04,23:00,107,general
TRAF-PM-01,PM-01 Avenida Juan Sebastián Elcano,36.72231037324942,-4.366237997769633,Avenida Juan Sebastián Elcano,2026-02-04,23:00,2026-02-04,23:59,58,general
TRAF-PM-01,PM-01 Avenida Juan Sebastián Elcano,36.72231037324942,-4.366237997769633,Avenida Juan Sebastián Elcano,2026-02-07,00:00,2026-02-07,01:00,277,general
TRAF-PM-01,PM-01 Avenida Juan Sebastián Elcano,36.72231037324942,-4.366237997769633,Avenida Juan Sebastián Elcano,2026-02-07,01:00,2026-02-07,02:00,230,general
TRAF-PM-01,PM-01 Avenida Juan Sebastián Elcano,36.72231037324942,-4.366237997769633,Avenida Juan Sebastián Elcano,2026-02-07,02:00,2026-02-07,03:00,158,general
TRAF-PM-01,PM-01 Avenida Juan Sebastián Elcano,36.72231037324942,-4.366237997769633,Avenida Juan Sebastián Elcano,2026-02-07,03:00,2026-02-07,04:00,95,general
TRAF-PM-01,PM-01 Avenida Juan Sebastián Elcano,36.72231037324942,-4.366237997769633,Avenida Juan Sebastián Elcano,2026-02-07,04:00,2026-02-07,05:00,51,general
TRAF-PM-01,PM-01 Avenida Juan Sebastián Elcano,36.72231037324942,-4.366237997769633,Avenida Juan Sebastián Elcano,2026-02-07,05:00,2026-02-07,06:00,40,general
TRAF-PM-01,PM-01 Avenida Juan Sebastián Elcano,36.72231037324942,-4.366237997769633,Avenida Juan Sebastián Elcano,2026-02-07,06:00,2026-02-07,07:00,24,general
TRAF-PM-01,PM-01 Avenida Juan Sebastián Elcano,36.72231037324942,-4.366237997769633,Avenida Juan Sebastián Elcano,2026-02-07,07:00,2026-02-07,08:00,16,general
TRAF-PM-01,PM-01 Avenida Juan Sebastián Elcano,36.72231037324942,-4.366237997769633,Avenida Juan Sebastián Elcano,2026-02-07,08:00,2026-02-07,09:00,16,general
TRAF-PM-01,PM-01 Avenida Juan Sebastián Elcano,36.72231037324942,-4.366237997769633,Avenida Juan Sebastián Elcano,2026-02-07,09:00,2026-02-07,10:00,24,general
TRAF-PM-01,PM-01 Avenida Juan Sebastián Elcano,36.72231037324942,-4.366237997769633,Avenida Juan Sebastián Elcano,2026-02-07,10:00,2026-02-07,11:00,55,general
TRAF-PM-01,PM-01 Avenida Juan Sebastián Elcano,36.72231037324942,-4.366237997769633,Avenida Juan Sebastián Elcano,2026-02-07,11:00,2026-02-07,12:00,127,general
