id,categoria,nombre,descripcion,direccion,latitud,longitud,titularidad,accesibilidad_pmr
ITS-CAM-21611,camara_trafico,TV87-EL BONI - CAMPANILLAS,C/ José Calderón - El Boni,Calle José Calderón,36.72406291352086,-4.539062997820292,municipal,no
ITS-CAM-75066,camara_trafico,TV100-JOSÉ CALDERÓN - JUNTA DE DISTRITO CAMPANILLAS,José Calderón - Junta De Distrito Campanillas,Calle José Calderón,36.72806421666882,-4.544862290941862,municipal,no
ITS-CAM-75086,camara_trafico,TV120-HERMANOS LUMIERE - LICURGO,Hermanos Lumiere - Licurgo,Calle Hermanos Lumière,36.69370759993173,-4.4627101617254334,municipal,no
ITS-CAM-75093,camara_trafico,TV127-CARRIL DEL CAPITÁN - JUAN DE ROBLES,Carril Del Capitán - Juan De Robles,Calle Juan de Robles,36.721554097509305,-4.46161103014071,municipal,no
ITS-CAM-75069,camara_trafico,TV103-AVDA LOS GUINDOS - CMNO DE LA TÉRMICA,Avda Los Guindos - Cmno De La Térmica,Avenida de los Guindos,36.69082158314863,-4.44701655450928,municipal,no
ITS-CAM-21622,camara_trafico,TV31-AYALA,C/ Ayala – C/Capulino Jáuregui.,Calle Ayala,36.706006914722536,-4.436089997928918,municipal,no
ITS-CAM-21560,camara_trafico,TV36-HILERA,C/Hilera – C/Armengual de la Mota.,Calle Armengual de la Mota,36.71786391479794,-4.429432997935184,municipal,no
ITS-CAM-75099,camara_trafico,TV95-JUAN SEBASTIÁN ELCANO - ALMERÍA - ARROYO JABONEROS,Juan Sebastián Elcano - Almería - Arroyo Jaboneros,Avenida de Juan Sebastián Elcano,36.72231037324942,-4.366237997769633,municipal,no
ITS-CAM-21610,camara_trafico,TV86-GUTEMBERG,Paseo Marítimo - C/ Gutemberg,Calle Gutenberg,36.72025291504549,-4.405149997962274,municipal,no
ITS-CAM-21559,camara_trafico,TV24-PTE. MEDITERRÁNEO,Avda Valle Inclán – Pte. Mediterráneo.,Puente del Mediterráneo,36.73749591485501,-4.424806997938501,municipal,no
ITS-CAM-21615,camara_trafico,TV91-MÁRMOLES,Situación: Mármoles - Armengual de la Mota,Calle Armengual de la Mota,36.721549914804264,-4.428989997935328,municipal,no
ITS-CAM-21556,camara_trafico,TV17-LA CORACHA,Paseo Reding – Avda. Cervantes.,Subida a la Coracha,36.721030914969084,-4.4128519979534655,municipal,no
ITS-CAM-21545,camara_trafico,TV06-PSO PARQUE,Paseo del Parque - Plaza General Torrijos.,Plaza del General Torrijos,36.72033291496804,-4.412919997953456,municipal,no
