id,nombre,latitud,longitud,direccion,carril_bici_longitud
BICI-14626,CARRILBICI_29,36.72342044418452,-4.418162662751178,Calle Madre de Dios,284.1
BICI-14639,CARRILBICI_41.04,36.71532223220732,-4.499402310448708,Avenida de Blas Infante,222.4
BICI-14640,CARRILBICI_41.01,36.71819511805948,-4.499489424217595,Avenida de Blas Infante,269.7
BICI-14642,CARRILBICI_41.03,36.71626490785295,-4.498958154315848,Avenida de Blas Infante,208.5
BICI-14651,CARRILBICI_41.15,36.716878023635694,-4.468250689787097,Avenida de Blas Infante,278.5
BICI-14653,CARRILBICI_41.12,36.716744774429344,-4.4827861958381074,Avenida de Blas Infante,2141.4
BICI-14683,CARRILBICI_41.16,36.71715839707991,-4.497925713563805,Avenida de Blas Infante,203.3
BICI-14693,CARRILBICI_41.18,36.71607234374347,-4.495230597900353,Avenida de Blas Infante,256.8
BICI-14643,CARRILBICI_41.10,36.71627475627737,-4.495234521440249,Avenida de Blas Infante,274.6
BICI-14646,CARRILBICI_41.07,36.71859469421324,-4.49491496660326,Avenida de Blas Infante,91.5
BICI-14644,CARRILBICI_41.09,36.718414227626184,-4.494876279069224,Avenida de Blas Infante,54.7
BICI-14682,CARRILBICI_41.17,36.71768857027053,-4.496093107999318,Avenida de Blas Infante,210.9
BICI-14648,CARRILBICI_41.11,36.715900198611365,-4.494401020155336,Avenida de Blas Infante,111.2
BICI-14650,CARRILBICI_41.14,36.71663883453239,-4.4699121613145625,Avenida de Blas Infante,228.9
BICI-14641,CARRILBICI_41.05,36.71919134920275,-4.495680666554726,Avenida de Blas Infante,193.3
BICI-14645,CARRILBICI_41.06,36.719233973091434,-4.494927356965742,Avenida de Blas Infante,137.4
BICI-14647,CARRILBICI_41.08,36.716377744107696,-4.49424209771939,Avenida de Blas Infante,266.8
BICI-14649,CARRILBICI_41.13,36.714439806647306,-4.472032476796201,Avenida de Blas Infante,671.0
BICI-14652,CARRILBICI_41.19,36.71741211628599,-4.470977085901028,Avenida de Blas Infante,504.0
BICI-14676,CARRILBICI_27,36.718037779854164,-4.4291008855068705,Calle Armengual de la Mota,487.3
BICI-14669,CARRILBICI_04,36.72389443766722,-4.462841469970302,Calle Orson Welles,787.9
BICI-47694,CARRILBICI_49,36.71456728811169,-4.43083974720807,Calle Callejones del Perchel,230.7
BICI-47695,CARRILBICI_50,36.7160842643583,-4.429931869553429,Calle Callejones del Perchel,216.1
BICI-14691,CARRILBICI_36.03,36.702904955066295,-4.4457310102340335,Calle Sillita de la Reina,268.0
BICI-14692,CARRILBICI_36.02,36.70489210872191,-4.4467430122107015,Calle Sillita de la Reina,77.2
BICI-14688,CARRILBICI_36.01,36.70580355412909,-4.447557777702226,Calle Sillita de la Reina,100.4
BICI-14637,CARRILBICI_39,36.70931195340022,-4.444750891977984,Avenida de Juan Xxiii,620.8
BICI-14638,CARRILBICI_40,36.704074934484304,-4.441227504542443,Avenida de Juan Xxiii,408.7
BICI-14671,CARRILBICI_35,36.72488504023823,-4.491171473500209,Calle de Antonio Soler,809.1
BICI-14680,CARRILBICI_12,36.711882615871936,-4.430863343740611,Calle Explanada de la Estación,288.8
BICI-14657,CARRILBICI_28.02,36.71723503909792,-4.429874829721454,Avenida de Andalucía,774.6
BICI-14672,CARRILBICI_43,36.73320063041168,-4.476670598682249,Calle Lope de Rueda,1606.5
BICI-14695,CARRILBICI_14.02,36.71960571850031,-4.454017485425482,Calle Cómpeta,33.4
BICI-14689,CARRILBICI_14.03,36.719087436398176,-4.4495512526284084,Calle Cómpeta,396.0
BICI-14694,CARRILBICI_14.01,36.71986886510818,-4.454653911361072,Calle Cómpeta,134.2
BICI-47693,CARRILBICI_51,36.71425843184532,-4.431749398241499,Plaza de la Solidaridad,307.7
BICI-14629,CARRILBICI_30,36.727121802572604,-4.424485676102019,Calle Parras,738.2
BICI-14677,CARRILBICI_31,36.73876433967295,-4.424241303723029,Paseo Martiricos,2844.7
BICI-14675,CARRILBICI_26,36.72160519924234,-4.429077202830625,Calle Jaboneros,661.0
BICI-14659,CARRILBICI_37,36.683557875846084,-4.460780944156019,Calle Lexicógrafa María Moliner,727.5
BICI-14668,CARRILBICI_10,36.67898832619276,-4.4526927522970015,Avenida Manuel Alvar,1086.7
BICI-14665,CARRILBICI_01,36.726433334108435,-4.474436960105367,Avenida del Editor Ángel Caffarena,679.9
